"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.56",0.138121546961326,99.7795603453554,0.220439654644544,2.7027027027027,0.26281208935611,0.170473917490624,95.5496921723835,1,723,36,16295,2,8,9,2880
"long_cut =  9 ; prob =  0.57",0.138121546961326,99.7795603453554,0.220439654644544,2.7027027027027,0.26281208935611,0.170473917490624,95.5496921723835,1,723,36,16295,2,8,9,2880
"long_cut =  9 ; prob =  0.58",0.138121546961326,99.7795603453554,0.220439654644544,2.7027027027027,0.26281208935611,0.170473917490624,95.5496921723835,1,723,36,16295,2,8,9,2880
"long_cut =  9 ; prob =  0.59",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.6",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.61",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.62",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.63",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.64",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.65",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.66",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
