"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.17",80.6378986866792,78.1265230529291,21.8734769470709,48.9187343501024,60.8954378010768,71.3811200425164,78.644382544104,2149,516,2244,8015,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.18",79.5497185741088,79.608148942392,20.391851057608,50.332383665717,61.6547913334303,71.2748789671867,79.5961002785515,2120,545,2092,8167,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.19",78.1238273921201,80.9338142119115,19.0661857880885,51.5601783060921,62.121438162017,70.8259627160158,80.354379449087,2082,583,1956,8303,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.2",76.5478424015009,82.386197485135,17.613802514865,53.0283337665714,62.6535626535627,70.3108844006342,81.1822965026308,2040,625,1807,8452,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.21",75.1219512195122,83.5753972122039,16.4246027877961,54.2988879848115,63.0352644836272,69.7706837666411,81.8322500773754,2002,663,1685,8574,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.22",73.6960600375235,84.6768690905546,15.3231309094454,55.5429864253394,63.3446218351879,69.1744153282615,82.4125657691117,1964,701,1572,8687,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.23",72.4577861163227,85.7101081976801,14.2898918023199,56.8442743597292,63.7083470801716,68.6846411040763,82.9774063757351,1931,734,1466,8793,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.24",71.4446529080675,86.5873866848621,13.4126133151379,58.0487804878049,64.053826745164,68.2926829268293,83.4648715567936,1904,761,1376,8883,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.25",70.1688555347092,87.3574422458329,12.6425577541671,59.0464161667193,64.1289437585734,67.6213206046142,83.8130609718353,1870,795,1297,8962,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.26",68.9305816135085,88.069012574325,11.930987425675,60.0130676249592,64.1634648969612,66.9411850448218,84.1225626740947,1837,828,1224,9035,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.27",67.5046904315197,88.7513402865776,11.2486597134224,60.921097189299,64.0441438234247,66.0765444795416,84.3701640359022,1799,866,1154,9105,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.28",66.6041275797373,89.3556876888586,10.6443123111414,61.9114056505058,64.1720896601591,65.6095216973461,84.6641906530486,1775,890,1092,9167,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.29",65.6285178236398,89.9210449361536,10.0789550638464,62.8458498023715,64.2070484581498,65.0524436509708,84.9117920148561,1749,916,1034,9225,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.3",64.8405253283302,90.388926795984,9.61107320401599,63.6698599852616,64.249860568879,64.6029609690444,85.1207056638812,1728,937,986,9273,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.31",63.2270168855535,90.9152938882932,9.0847061117068,64.3867023309133,63.801590306702,63.4555999096181,85.2058186320025,1685,980,932,9327,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.32",62.4390243902439,91.3539331318842,8.6460668681158,65.2293218345747,63.8036809815951,62.977821512376,85.3915196533581,1664,1001,887,9372,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.33",61.3508442776735,91.7730772979823,8.22692270201774,65.9540137152078,63.5692068429238,62.2193469822665,85.4998452491489,1635,1030,844,9415,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.34",60.2626641651032,92.1824739253339,7.81752607466615,66.6943521594684,63.3155923516657,61.4478114478114,85.6004333023832,1606,1059,802,9457,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.35",59.5872420262664,92.6308607076713,7.36913929232869,67.7474402730375,63.405869435017,61.0581359581667,85.8170844939647,1588,1077,756,9503,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.36",58.6116322701689,93.0305097962764,6.96949020372356,68.5990338164251,63.2132739781465,60.3694828785653,85.933147632312,1562,1103,715,9544,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.37",57.7861163227017,93.3424310361634,6.65756896383663,69.2757534862798,63.0114566284779,59.768687417527,86.0105230578768,1540,1125,683,9576,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.38",56.5103189493433,93.6251096598109,6.3748903401891,69.7222222222222,62.4248704663212,58.7363494539782,85.9718353450944,1506,1159,654,9605,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.39",55.3095684803002,93.9857685934302,6.01423140656984,70.492587278814,61.9848612279226,57.7993882832719,86.0105230578768,1474,1191,617,9642,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.4",54.4090056285178,94.190466907106,5.80953309289405,70.8699902248289,61.5580556145192,57.0596568550291,85.9873104302074,1450,1215,596,9663,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.41",53.1332082551595,94.3756701432888,5.62432985671119,71.0486703462117,60.798626019751,55.9551094602071,85.8712472918601,1416,1249,577,9682,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.42",52.6078799249531,94.6388536894434,5.36114631055659,71.8237704918033,60.7320771063461,55.5819854107199,85.9718353450944,1402,1263,550,9709,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.43",51.7823639774859,94.8435520031192,5.15644799688079,72.289156626506,60.3410581547879,54.8969687325961,85.9640978025379,1380,1285,529,9730,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.44",51.1069418386492,95.0579978555415,4.94200214445852,72.8731942215088,60.0794000882223,54.3538989544257,85.9950479727638,1362,1303,507,9752,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.45",50.2439024390244,95.3211814016961,4.67881859830392,73.6118746564046,59.7234611953613,53.6501322221332,86.0259981429898,1339,1326,480,9779,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.46",49.53095684803,95.5063846378789,4.49361536212106,74.1156653565413,59.3792172739541,53.0503978779841,86.0259981429898,1320,1345,461,9798,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.47",48.5178236397749,95.6623452578224,4.3376547421776,74.3958573072497,58.732682262094,52.1455073398935,85.9408851748685,1293,1372,445,9814,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.48",47.9549718574109,95.8183058777659,4.18169412223414,74.8681898066784,58.4629460201281,51.6697663135765,85.948622717425,1278,1387,429,9830,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.49",47.0544090056285,95.9840140364558,4.0159859635442,75.2701080432173,57.9081043638883,50.8680837254584,85.8944599195296,1254,1411,412,9847,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.5",46.3414634146341,96.1204795789063,3.87952042109367,75.6276791181874,57.4685900418799,50.2318392581144,85.8557722067471,1235,1430,398,9861,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.51",45.7786116322702,96.1984598888781,3.80154011112194,75.7763975155279,57.0760233918129,49.7147514262429,85.8016094088518,1220,1445,390,9869,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.52",44.8780487804878,96.3739155863145,3.62608441368555,76.2755102040816,56.508386487125,48.9041543997383,85.7551841535128,1196,1469,372,9887,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.53",44.0525328330206,96.5201286675115,3.47987133248855,76.6819072501633,55.9580552907531,48.15027479288,85.7010213556175,1174,1491,357,9902,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.54",43.4521575984991,96.5981089774832,3.40189102251681,76.8414067684141,55.5129434324065,47.5877373222651,85.6391210151656,1158,1507,349,9910,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.55",42.7392120075047,96.6760892874549,3.32391071254509,76.9594594594595,54.9577804583836,46.9110378912685,85.5540080470443,1139,1526,341,9918,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.56",41.8011257035647,96.7930597524125,3.20694024758749,77.2002772002772,54.2356377799416,46.0216475254069,85.45341999381,1114,1551,329,9930,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.57",41.0131332082552,96.9002826786237,3.09971732137635,77.462792345854,53.631010794897,45.2737967028415,85.3760445682451,1093,1572,318,9941,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.58",40.4127579737336,97.0367482210742,2.96325177892582,77.9869659666908,53.2377656945131,44.7221991528943,85.3605694831322,1077,1588,304,9955,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.59",39.624765478424,97.1732137635247,2.82678623647529,78.4546805349183,52.6551982049364,43.9780109945027,85.3064066852368,1056,1609,290,9969,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.6",38.7992495309568,97.2804366897358,2.71956331026416,78.7509520182788,51.9859225741579,43.1804894345611,85.2212937171154,1034,1631,279,9980,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.61",38.1238273921201,97.3974071546934,2.60259284530656,79.1893998441154,51.4690982776089,42.535376371096,85.1748684617765,1016,1649,267,9992,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.62",37.1857410881801,97.4558923871722,2.54410761282776,79.1533546325879,50.5999489405157,41.5967092008059,85.0278551532033,991,1674,261,9998,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.63",36.5853658536585,97.5533677746369,2.4466322253631,79.5269168026101,50.1156515034695,41.0146390711762,84.9814298978644,975,1690,251,10008,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.64",36.0600375234522,97.680085778341,2.31991422165904,80.1501251042535,49.7412008281574,40.5177502318914,84.9736923553079,961,1704,238,10021,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.65",35.5347091932458,97.7678136270592,2.23218637294084,80.5272108843537,49.3100755011716,40.0050692801622,84.9350046425255,947,1718,229,10030,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.66",34.8968105065666,97.8652890145238,2.13471098547616,80.9399477806788,48.767697954903,39.3767465492421,84.8808418446302,930,1735,219,10040,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.67",34.0712945590994,98.0115020957208,1.98849790427917,81.6546762589928,48.080487159121,38.5660890248046,84.8266790467348,908,1757,204,10055,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.68",33.2833020637899,98.099229944439,1.90077005556097,81.9778188539741,47.3445423005071,37.7703968659513,84.7338285360569,887,1778,195,10064,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.69",32.7204502814259,98.1967053319037,1.8032946680963,82.4976348155156,46.856528747985,37.2108901595972,84.6951408232745,872,1793,185,10074,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.7",31.9324577861163,98.3039282581148,1.69607174188517,83.0243902439024,46.1246612466125,36.4142062473256,84.6177653977097,851,1814,174,10085,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.71",30.9943714821764,98.4403938005654,1.55960619943464,83.7728194726166,45.2478772938921,35.4628198523098,84.5326524295884,826,1839,160,10099,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.72",30.3939962476548,98.5183741105371,1.48162588946291,84.1995841995842,44.6650124069479,34.8477026329375,84.4707520891365,810,1855,152,10107,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.73",29.8686679174484,98.5671118042694,1.43288819573058,84.4114528101803,44.1241685144124,34.301473756787,84.4011142061281,796,1869,147,10112,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.74",29.343339587242,98.6548396529876,1.34516034701238,85,43.626220362622,33.7651122625216,84.3624264933457,782,1883,138,10121,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.75",28.6303939962477,98.7328199629594,1.26718003704065,85.4423292273236,42.8892636312535,33.0217259586255,84.2773135252244,763,1902,130,10129,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.76",27.8424015009381,98.8205478116776,1.17945218832245,85.9791425260718,42.0634920634921,32.1964766119934,84.1844630145466,742,1923,121,10138,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.77",27.0168855534709,98.9082756603957,1.09172433960425,86.5384615384615,41.1781527023163,31.326139923425,84.0838749613123,720,1945,112,10147,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.78",26.3789868667917,98.9570133541281,1.04298664587191,86.7901234567901,40.4604316546763,30.6451612903226,83.9910244506345,703,1962,107,10152,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.79",25.6285178236398,99.0057510478604,0.994248952139587,87.0063694267516,39.5942028985507,29.8383573612931,83.8749613122872,683,1982,102,10157,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.8",24.6153846153846,99.0447412028463,0.955258797153724,87.0026525198939,38.3737935068734,28.7366392149991,83.6969978334881,656,2009,98,10161,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.81",23.7898686679174,99.0642362803392,0.935763719660787,86.8493150684932,37.3490427098675,27.8314310798946,83.5422469823584,634,2031,96,10163,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.82",23.1894934333959,99.1032264353251,0.896773564674924,87.0422535211268,36.6222222222222,27.1767810026385,83.4493964716806,618,2047,92,10167,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.83",22.2138836772983,99.1519641290574,0.848035870942587,87.1870397643594,35.4066985645933,26.1045947614428,83.2869080779944,592,2073,87,10172,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.84",21.3883677298311,99.1909542840433,0.809045715956724,87.2894333843798,34.3580470162749,25.1922566958367,83.1476323119777,570,2095,83,10176,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.85",20.3001876172608,99.2201969002827,0.779803099717324,87.1175523349436,32.9275715155204,23.9783707118163,82.9464562055091,541,2124,80,10179,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.86",19.06191369606,99.288429671508,0.71157032849205,87.4354561101549,31.3000616142945,22.5958544613469,82.7452800990405,508,2157,73,10186,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.87",18.4990619136961,99.3469149039867,0.653085096013262,88.0357142857143,30.5736434108527,21.969696969697,82.6756422160322,493,2172,67,10192,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.88",17.7861163227017,99.3859050589726,0.614094941027388,88.268156424581,29.6064959400375,21.1663838528177,82.5595790776849,474,2191,63,10196,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.89",16.9230769230769,99.3956525977191,0.604347402280925,87.9142300194932,28.3826305852738,20.1825830126197,82.3893531414423,451,2214,62,10197,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.9",16.0600375234522,99.4931279851837,0.506872014816262,89.1666666666667,27.2178060413355,19.2100538599641,82.288765088208,428,2237,52,10207,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.91",15.1969981238274,99.5321181401696,0.467881859830388,89.4039735099338,25.9781911481719,18.221902276613,82.1417517796348,405,2260,48,10211,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.92",14.108818011257,99.5906033726484,0.409396627351599,89.9521531100478,24.3918261433668,16.9705723054703,81.9637883008356,376,2289,42,10217,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.93",13.1332082551595,99.6393410663807,0.360658933619262,90.4392764857881,22.9357798165138,15.8414049063094,81.8012999071495,350,2315,37,10222,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.94",11.9324577861163,99.6490886051272,0.350911394872799,89.8305084745763,21.0665783371978,14.4361721445433,81.5614360878985,318,2347,36,10223,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.95",10.8067542213884,99.6978262988595,0.302173701140462,90.282131661442,19.3029490616622,13.1159486292012,81.3679975239864,288,2377,31,10228,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.96",9.60600375234522,99.7855541475777,0.214445852422263,92.0863309352518,17.397213727489,11.7023221795575,81.1900340451872,256,2409,22,10237,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.97",7.87992495309568,99.8147967638171,0.185203236182863,91.703056768559,14.5127850725639,9.64275874735972,80.8573197152584,210,2455,19,10240,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.98",6.26641651031895,99.8830295350424,0.1169704649576,93.2960893854749,11.7440225035162,7.70366269951103,80.578768183225,167,2498,12,10247,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.99",4.54033771106942,99.9317672287747,0.0682327712252628,94.53125,8.66451843895453,5.60808305524657,80.2615289384092,121,2544,7,10252,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  1",0,100,0,NA,NA,NA,79.37944908697,0,2665,0,10259,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  random_rate",23.3395872420263,0.776488936543523,22.3511063456477,21.3379073756432,22.2939068100358,205.524861878453,66.4500154750851,622,2043,2293,7966,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  random_50",52.0075046904315,0.499561360756409,50.0438639243591,21.2576687116564,30.1796407185629,267.316647264261,50.3791395852677,1386,1279,5134,5125,2,1,6,2718,"longTermPlayer"
