"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.24",43.2142857142857,85.1572739187418,14.8427260812582,29.9412310547479,35.3736524757902,39.694906913803,79.7885714285714,968,1272,2265,12995,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.25",41.2946428571429,85.7273918741809,14.2726081258191,29.809861424428,34.6247426539397,38.3403796733814,80.04,925,1315,2178,13082,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.26",39.6875,86.3958060288336,13.6041939711664,29.9831365935919,34.1594620557157,37.2746331236897,80.4171428571428,889,1351,2076,13184,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.27",37.8125,86.8938401048493,13.1061598951507,29.7506146821215,33.3005700805976,35.8685525535699,80.6114285714286,847,1393,2000,13260,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.28",36.4285714285714,87.4836173001311,12.5163826998689,29.93396918562,32.8634716069271,34.9135717953106,80.9485714285714,816,1424,1910,13350,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.29",35.4464285714286,87.9816513761468,12.0183486238532,30.2130898021309,32.6211996713229,34.259578874698,81.2571428571429,794,1446,1834,13426,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.3",34.2410714285714,88.4272608125819,11.5727391874181,30.2803000394789,32.1391158600461,33.3681371269468,81.4914285714286,767,1473,1766,13494,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.31",32.9017857142857,88.781127129751,11.218872870249,30.0939158840343,31.4352740456387,32.2990621439215,81.6285714285714,737,1503,1712,13548,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.32",32.0535714285714,89.1415465268676,10.8584534731324,30.2315789473684,31.1159263271939,31.6718129686811,81.8342857142857,718,1522,1657,13603,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.33",31.0714285714286,89.5281782437746,10.4718217562254,30.3400174367916,30.7013674459638,30.9223387240092,82.0457142857143,696,1544,1598,13662,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.34",30.1339285714286,89.8951507208388,10.1048492791612,30.446549391069,30.2894323536011,30.1959380871432,82.2457142857143,675,1565,1542,13718,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.35",29.4642857142857,90.1965923984273,9.80340760157274,30.6122448979592,30.0272975432211,29.6869377473911,82.4228571428571,660,1580,1496,13764,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.36",28.3928571428571,90.5307994757536,9.46920052424639,30.5622296972609,29.4376301781995,28.8017389729191,82.5771428571429,636,1604,1445,13815,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.37",27.3660714285714,90.8387942332896,9.16120576671036,30.4823470909995,28.8402728769701,27.9372892170267,82.7142857142857,613,1627,1398,13862,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.38",26.6964285714286,91.0812581913499,8.91874180865006,30.5257784583971,28.4829721362229,27.3834600238117,82.84,598,1642,1361,13899,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.39",26.2946428571429,91.3237221494102,8.67627785058978,30.7893361212755,28.3650373224175,27.0854410006438,83,589,1651,1324,13936,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.4",25.7142857142857,91.651376146789,8.34862385321101,31.1351351351351,28.1662591687042,26.6419981498612,83.2114285714286,576,1664,1274,13986,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.41",25,92.0445609436435,7.95543905635648,31.5670800450958,27.9023418036871,26.0853363145146,83.4628571428571,560,1680,1214,14046,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.42",24.5982142857143,92.2935779816514,7.70642201834862,31.9050376375217,27.7791782203176,25.7789838121082,83.6285714285714,551,1689,1176,14084,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.43",23.7946428571429,92.4836173001311,7.51638269986894,31.7261904761905,27.1938775510204,25.046992481203,83.6914285714286,533,1707,1147,14113,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.44",23.3928571428571,92.7195281782438,7.28047182175623,32.0489296636086,27.0451612903226,24.7286455875413,83.8457142857143,524,1716,1111,14149,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.45",22.9910714285714,92.9685452162516,7.03145478374836,32.4307304785894,26.9070010449321,24.4122108456579,84.0114285714286,515,1725,1073,14187,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.46",22.6339285714286,93.1847968545216,6.81520314547838,32.7731092436975,26.7758119883813,24.126772627772,84.1542857142857,507,1733,1040,14220,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.47",22.2321428571429,93.4272608125819,6.57273918741809,33.1778814123917,26.6238973536488,23.8026957269859,84.3142857142857,498,1742,1003,14257,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.48",22.0089285714286,93.6041939711665,6.39580602883355,33.5602450646698,26.5839849015907,23.6360149582894,84.44,493,1747,976,14284,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.49",21.6517857142857,93.8859764089122,6.11402359108781,34.2031029619182,26.5172225259705,23.3667373289651,84.64,485,1755,933,14327,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.5",21.2946428571429,94.1808650065531,5.81913499344692,34.9450549450549,26.4632454923717,23.0992736077482,84.8514285714286,477,1763,888,14372,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.51",20.8035714285714,94.35124508519,5.64875491480996,35.0903614457831,26.1210762331839,22.6477449455676,84.9371428571429,466,1774,862,14398,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.52",20.3571428571429,94.5806028833552,5.41939711664482,35.5416991426345,25.8870281010502,22.25910377819,85.08,456,1784,827,14433,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.53",19.7321428571429,94.7509829619921,5.24901703800786,35.5591311343524,25.3804191788688,21.6602959913751,85.1485714285714,442,1798,801,14459,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.54",19.1964285714286,94.9475753604194,5.0524246395806,35.8034970857619,24.992734670154,21.1593347111505,85.2514285714286,430,1810,771,14489,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.55",18.7053571428571,95.1507208387942,4.84927916120577,36.1518550474547,24.6543100912033,20.7036268405969,85.3657142857143,419,1821,740,14520,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.56",18.3482142857143,95.2948885976409,4.70511140235911,36.4038972542073,24.3989314336598,20.3687184061849,85.4457142857143,411,1829,718,14542,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.57",18.0803571428571,95.524246395806,4.47575360419397,37.2242647058824,24.3389423076923,20.1532643312102,85.6114285714286,405,1835,683,14577,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.58",17.6339285714286,95.7273918741809,4.27260812581913,37.7268385864374,24.0340736233648,19.7361846707305,85.7314285714286,395,1845,652,14608,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.59",17.2767857142857,95.9239842726081,4.07601572739188,38.3548067393459,23.8227146814404,19.4101715317484,85.8571428571429,387,1853,622,14638,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.6",16.7857142857143,96.1402359108781,3.85976408912189,38.9637305699482,23.4633385335413,18.9420654911839,85.9828571428571,376,1864,589,14671,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.61",16.2053571428571,96.2581913499345,3.74180865006553,38.865096359743,22.8733459357278,18.3444511825349,86.0114285714286,363,1877,571,14689,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.62",16.0714285714286,96.435124508519,3.564875491481,39.8230088495575,22.9007633587786,18.2481751824818,86.1485714285714,360,1880,544,14716,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.63",15.6696428571429,96.5137614678899,3.48623853211009,39.7508493771234,22.478386167147,17.8299298994209,86.1657142857143,351,1889,532,14728,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.64",15.2232142857143,96.6710353866317,3.32896461336828,40.1648998822144,22.0783425056653,17.3819961260067,86.2457142857143,341,1899,508,14752,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.65",14.6875,96.8610747051114,3.13892529488859,40.7178217821782,21.5879265091863,16.8407043407043,86.3428571428571,329,1911,479,14781,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.66",14.5535714285714,96.9855832241153,3.01441677588467,41.4758269720102,21.5465961665565,16.7248101785348,86.4342857142857,326,1914,460,14800,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.67",14.1964285714286,97.0969855832241,2.90301441677588,41.7871222076216,21.192935688104,16.3563419401296,86.4857142857143,318,1922,443,14817,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.68",14.0178571428571,97.2542595019659,2.74574049803408,42.837653478854,21.1234443323243,16.1972557515733,86.6,314,1926,419,14841,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.69",13.7053571428571,97.437745740498,2.56225425950196,43.9828080229226,20.8985704560926,15.8935597432181,86.72,307,1933,391,14869,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.7",13.3035714285714,97.562254259502,2.43774574049803,44.4776119402985,20.4810996563574,15.472481827622,86.7771428571428,298,1942,372,14888,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.71",12.8571428571429,97.6212319790301,2.37876802096986,44.2396313364055,19.9239017640955,14.9828321714702,86.7714285714286,288,1952,363,14897,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.72",12.3214285714286,97.7588466579292,2.24115334207078,44.6601941747573,19.3142057382785,14.4080183754437,86.8228571428571,276,1964,342,14918,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.73",11.9196428571429,97.9095674967235,2.09043250327654,45.5631399317406,18.895966029724,13.9849151477058,86.9028571428571,267,1973,319,14941,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.74",11.6517857142857,98.0209698558322,1.97903014416776,46.3587921847247,18.6229040313949,13.703664811509,86.9657142857143,261,1979,302,14958,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.75",11.2946428571429,98.0996068152031,1.90039318479686,46.5930018416206,18.1818181818182,13.3115858150058,86.9885714285714,253,1987,290,14970,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.76",11.0267857142857,98.2175622542595,1.78243774574049,47.5915221579961,17.9050380572671,13.0288005063825,87.0571428571428,247,1993,272,14988,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.77",10.7142857142857,98.3420707732634,1.65792922673657,48.6815415821501,17.563117453348,12.6943827356395,87.1257142857143,240,2000,253,15007,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.78",10.4464285714286,98.4600262123198,1.5399737876802,49.8933901918977,17.2757475083056,12.4085268851416,87.1942857142857,234,2006,235,15025,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.79",10.1339285714286,98.5124508519004,1.48754914809961,50,16.8522642910171,12.0565115785001,87.2,227,2013,227,15033,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.8",10.0446428571429,98.5845347313237,1.41546526867627,51.0204081632653,16.7847817978366,11.9668120412722,87.2514285714286,225,2015,216,15044,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.81",9.77678571428571,98.6828309305374,1.31716906946264,52.1428571428571,16.4661654135338,11.6737739872068,87.3028571428571,219,2021,201,15059,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.82",9.41964285714286,98.735255570118,1.26474442988205,52.2277227722772,15.9606656580938,11.2665527552328,87.3028571428571,211,2029,193,15067,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.83",9.10714285714286,98.8335517693316,1.16644823066842,53.4031413612565,15.5606407322654,10.9184328837508,87.3485714285714,204,2036,178,15082,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.84",8.75,98.8794233289646,1.12057667103539,53.4059945504087,15.036440352896,10.5071298381044,87.3428571428571,196,2044,171,15089,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.85",8.34821428571428,98.9777195281782,1.02228047182176,54.5189504373178,14.4792876500194,10.0505213372031,87.3771428571429,187,2053,156,15104,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.86",7.76785714285714,99.0629095674967,0.937090432503274,54.8895899053628,13.6096988658584,9.37803169127951,87.3771428571429,174,2066,143,15117,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.87",7.45535714285714,99.13499344692,0.86500655307995,55.8528428093645,13.1547853485624,9.01825251107031,87.4,167,2073,132,15128,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.88",7.32142857142857,99.213630406291,0.786369593709046,57.7464788732394,12.9952456418384,8.87061877974903,87.4514285714286,164,2076,120,15140,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.89",6.91964285714286,99.2791612057667,0.720838794233292,58.4905660377358,12.375249500998,8.40108401084011,87.4571428571429,155,2085,110,15150,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.9",6.60714285714286,99.35124508519,0.648754914809957,59.919028340081,11.9018898271009,8.03736287607255,87.48,148,2092,99,15161,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.91",6.20535714285714,99.4036697247706,0.596330275229362,60.4347826086956,11.2550607287449,7.56256800870511,87.4742857142857,139,2101,91,15169,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.92",5.75892857142857,99.5019659239843,0.49803407601573,62.9268292682927,10.5521472392638,7.03764320785597,87.5028571428571,129,2111,76,15184,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.93",5.44642857142857,99.5478374836173,0.452162516382704,63.8743455497382,10.0370218017277,6.66593814883619,87.5028571428571,122,2118,69,15191,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.94",4.95535714285714,99.5806028833552,0.419397116644826,63.4285714285714,9.19254658385093,6.07553366174056,87.4685714285714,111,2129,64,15196,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.95",4.33035714285714,99.6199213630406,0.380078636959369,62.5806451612903,8.10020876826722,5.32089961601755,87.4228571428571,97,2143,58,15202,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.96",3.61607142857143,99.6592398427261,0.340760157273923,60.9022556390977,6.826801517067,4.45397558561531,87.3657142857143,81,2159,52,15208,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.97",3.34821428571429,99.7182175622543,0.281782437745737,63.5593220338983,6.36132315521628,4.13086582947786,87.3828571428571,75,2165,43,15217,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.98",2.72321428571429,99.7706422018349,0.229357798165142,63.5416666666667,5.22260273972603,3.36793286219081,87.3485714285714,61,2179,35,15225,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.99",1.78571428571429,99.8754914809961,0.12450851900393,67.7966101694915,3.47977381470204,2.21754074731123,87.32,40,2200,19,15241,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  1",0,100,0,NA,NA,NA,87.2,0,2240,0,15260,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  random_rate",18.4821428571429,0.826802096985583,17.3197903014417,13.5426889106968,15.6314895223712,220.396105517184,74.4628571428571,414,1826,2643,12617,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  random_50",52.7232142857143,0.501376146788991,49.8623853211009,13.4357224118316,21.4143245693563,310.704225352113,50.4685714285714,1181,1059,7609,7651,2,1,6,2527,"longTermPlayer"
