"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.2543217111046,8.16142993648474,18.1781761730683,4.2543217111046,726,0,16339,0,1,3
"long_cut =  5 ; prob =  0.11",24.1046831955923,94.6875573780525,5.31244262194749,16.7785234899329,19.7851893725269,22.1687357486699,91.6847348373865,175,551,868,15471,1,3
"long_cut =  5 ; prob =  0.12",20.6611570247934,95.4587184038191,4.54128159618091,16.8161434977578,18.5414091470952,19.7576396206533,92.2765895106944,150,576,742,15597,1,3
"long_cut =  5 ; prob =  0.13",18.0440771349862,96.3094436624028,3.69055633759716,17.8474114441417,17.9452054794521,18.0043980208906,92.9797831819514,131,595,603,15736,1,3
"long_cut =  5 ; prob =  0.14",14.8760330578512,96.9153558969337,3.08464410306628,17.6470588235294,16.1434977578475,15.358361774744,93.4251391737474,108,618,504,15835,1,3
"long_cut =  5 ; prob =  0.15",13.4986225895317,97.3498990146276,2.65010098537242,18.4557438794727,15.5926809864757,14.2649199417758,93.7825959566364,98,628,433,15906,1,3
"long_cut =  5 ; prob =  0.16",12.2589531680441,97.7783218067201,2.22167819327989,19.6902654867257,15.1103565365025,13.2598331346841,94.1400527395253,89,637,363,15976,1,3
"long_cut =  5 ; prob =  0.17",11.2947658402204,97.9986535283677,2.00134647163229,20.0488997555012,14.4493392070485,12.3754904920012,94.3099912100791,82,644,327,16012,1,3
"long_cut =  5 ; prob =  0.18",9.64187327823691,98.2434665524206,1.75653344757941,19.6078431372549,12.927054478301,10.7329040171726,94.4740697333724,70,656,287,16052,1,3
"long_cut =  5 ; prob =  0.19",8.67768595041322,98.402595018055,1.59740498194504,19.4444444444444,12,9.75836431226766,94.5854087313214,63,663,261,16078,1,3
"long_cut =  5 ; prob =  0.2",8.40220385674931,98.537242181284,1.46275781871595,20.3333333333333,11.8908382066277,9.51935081148564,94.7026076765309,61,665,239,16100,1,3
"long_cut =  5 ; prob =  0.21",7.30027548209366,98.6351673909052,1.3648326090948,19.2028985507246,10.5788423153693,8.33333333333333,94.7494872546147,53,673,223,16116,1,3
"long_cut =  5 ; prob =  0.22",6.33608815426997,98.7208519493237,1.27914805067629,18.0392156862745,9.37818552497452,7.28078505856284,94.790506885438,46,680,209,16130,1,3
"long_cut =  5 ; prob =  0.23",5.37190082644628,98.8065365077422,1.19346349225778,16.6666666666667,8.125,6.21414913957935,94.8315265162613,39,687,195,16144,1,3
"long_cut =  5 ; prob =  0.24",4.95867768595041,98.9473039965726,1.05269600342738,17.3076923076923,7.70877944325482,5.7840616966581,94.9487254614709,36,690,172,16167,1,3
"long_cut =  5 ; prob =  0.25",4.6831955922865,99.0574698573964,0.942530142603581,18.0851063829787,7.43982494529541,5.4980595084088,95.0424846176385,34,692,154,16185,1,3
"long_cut =  5 ; prob =  0.26",4.40771349862259,99.1186731134096,0.881326886590361,18.1818181818182,7.09534368070954,5.1948051948052,95.0893641957222,32,694,144,16195,1,3
"long_cut =  5 ; prob =  0.27",4.13223140495868,99.1492747414162,0.850725258583762,17.7514792899408,6.70391061452514,4.88122356003905,95.1069440375037,30,696,139,16200,1,3
"long_cut =  5 ; prob =  0.28",3.85674931129477,99.2043576718281,0.795642328171864,17.7215189873418,6.33484162895928,4.57217504898759,95.147963668327,28,698,130,16209,1,3
"long_cut =  5 ; prob =  0.29",3.58126721763085,99.25944060224,0.740559397759966,17.687074829932,5.95647193585338,4.2608980662078,95.1889832991503,26,700,121,16218,1,3
"long_cut =  5 ; prob =  0.3",3.58126721763085,99.3084032070506,0.691596792949389,18.705035971223,6.01156069364162,4.27209990141308,95.2358628772341,26,700,113,16226,1,3
"long_cut =  5 ; prob =  0.31",3.4435261707989,99.3512454862599,0.648754513740135,19.0839694656489,5.8343057176196,4.11861614497529,95.271022560797,25,701,106,16233,1,3
"long_cut =  5 ; prob =  0.32",3.16804407713499,99.3879674398678,0.612032560132203,18.6991869918699,5.41813898704358,3.7991410637595,95.2944623498389,23,703,100,16239,1,3
"long_cut =  5 ; prob =  0.33",3.16804407713499,99.4246893934757,0.575310606524271,19.6581196581197,5.45670225385528,3.80668652763985,95.3296220334017,23,703,94,16245,1,3
"long_cut =  5 ; prob =  0.34",3.16804407713499,99.4981333006916,0.501866699308406,21.9047619047619,5.53549939831528,3.8218677301429,95.3999414005274,23,703,82,16257,1,3
"long_cut =  5 ; prob =  0.35",2.47933884297521,99.5226146030969,0.477385396903118,18.75,4.37956204379562,3,95.3940814532669,18,708,78,16261,1,3
"long_cut =  5 ; prob =  0.36",2.47933884297521,99.5470959055022,0.45290409449783,19.5652173913043,4.40097799511003,3.00400534045394,95.4175212423088,18,708,74,16265,1,3
"long_cut =  5 ; prob =  0.37",2.20385674931129,99.5960585103127,0.403941489687254,19.5121951219512,3.96039603960396,2.67916945746819,95.4526809258717,16,710,66,16273,1,3
"long_cut =  5 ; prob =  0.38",2.20385674931129,99.620539812718,0.379460187281966,20.5128205128205,3.98009950248756,2.68276324614353,95.4761207149136,16,710,62,16277,1,3
"long_cut =  5 ; prob =  0.39",2.20385674931129,99.6266601383194,0.373339861680644,20.7792207792208,3.98505603985056,2.68366320026837,95.481980662174,16,710,61,16278,1,3
"long_cut =  5 ; prob =  0.4",2.06611570247934,99.6266601383194,0.373339861680644,19.7368421052632,3.74064837905237,2.51677852348993,95.4761207149136,15,711,61,16278,1,3
"long_cut =  5 ; prob =  0.41",2.06611570247934,99.6266601383194,0.373339861680644,19.7368421052632,3.74064837905237,2.51677852348993,95.4761207149136,15,711,61,16278,1,3
"long_cut =  5 ; prob =  0.42",2.06611570247934,99.6266601383194,0.373339861680644,19.7368421052632,3.74064837905237,2.51677852348993,95.4761207149136,15,711,61,16278,1,3
"long_cut =  5 ; prob =  0.43",1.92837465564738,99.638900789522,0.361099210478,19.1780821917808,3.50438047559449,2.35136042996305,95.481980662174,14,712,59,16280,1,3
"long_cut =  5 ; prob =  0.44",1.92837465564738,99.6450211151233,0.354978884876678,19.4444444444444,3.50877192982456,2.35215053763441,95.4878406094345,14,712,58,16281,1,3
"long_cut =  5 ; prob =  0.45",1.92837465564738,99.6450211151233,0.354978884876678,19.4444444444444,3.50877192982456,2.35215053763441,95.4878406094345,14,712,58,16281,1,3
"long_cut =  5 ; prob =  0.46",1.92837465564738,99.6633820919273,0.336617908072712,20.2898550724638,3.52201257861635,2.35452404978137,95.5054204512159,14,712,55,16284,1,3
"long_cut =  5 ; prob =  0.47",1.92837465564738,99.6695024175286,0.33049758247139,20.5882352941176,3.5264483627204,2.35531628532974,95.5112803984764,14,712,54,16285,1,3
"long_cut =  5 ; prob =  0.48",1.92837465564738,99.6817430687313,0.318256931268746,21.2121212121212,3.53535353535354,2.35690235690236,95.5230002929974,14,712,52,16287,1,3
"long_cut =  5 ; prob =  0.49",1.65289256198347,99.7001040455352,0.299895954464779,19.672131147541,3.04955527318933,2.02360876897133,95.5288602402578,12,714,49,16290,1,3
"long_cut =  5 ; prob =  0.5",1.51515151515152,99.7184650223392,0.281534977660813,19.2982456140351,2.80970625798212,1.85748058088484,95.5405801347788,11,715,46,16293,1,3
"long_cut =  5 ; prob =  0.51",1.37741046831956,99.7245853479405,0.275414652059491,18.1818181818182,2.56081946222791,1.68976005407232,95.5405801347788,10,716,45,16294,1,3
"long_cut =  5 ; prob =  0.52",1.37741046831956,99.7245853479405,0.275414652059491,18.1818181818182,2.56081946222791,1.68976005407232,95.5405801347788,10,716,45,16294,1,3
"long_cut =  5 ; prob =  0.53",1.37741046831956,99.7551869759471,0.244813024052881,20,2.57731958762887,1.6926201760325,95.5698798710812,10,716,40,16299,1,3
"long_cut =  5 ; prob =  0.54",1.37741046831956,99.7551869759471,0.244813024052881,20,2.57731958762887,1.6926201760325,95.5698798710812,10,716,40,16299,1,3
"long_cut =  5 ; prob =  0.55",1.37741046831956,99.7674276271498,0.232572372850237,20.8333333333333,2.58397932816537,1.69376693766938,95.5815997656021,10,716,38,16301,1,3
"long_cut =  5 ; prob =  0.56",1.37741046831956,99.7674276271498,0.232572372850237,20.8333333333333,2.58397932816537,1.69376693766938,95.5815997656021,10,716,38,16301,1,3
"long_cut =  5 ; prob =  0.57",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.58",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.59",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.6",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.61",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.62",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.63",1.2396694214876,99.7796682783524,0.220331721647593,20,2.33463035019455,1.52594099694812,95.5874597128626,9,717,36,16303,1,3
"long_cut =  5 ; prob =  0.64",0.964187327823691,99.7796682783524,0.220331721647593,16.2790697674419,1.82054616384916,1.18764845605701,95.5757398183416,7,719,36,16303,1,3
"long_cut =  5 ; prob =  0.65",0.68870523415978,99.791908929555,0.208091070444949,12.8205128205128,1.30718954248366,0.849473326537547,95.5757398183416,5,721,34,16305,1,3
"long_cut =  5 ; prob =  0.66",0.68870523415978,99.791908929555,0.208091070444949,12.8205128205128,1.30718954248366,0.849473326537547,95.5757398183416,5,721,34,16305,1,3
"long_cut =  5 ; prob =  0.67",0.68870523415978,99.8041495807577,0.195850419242305,13.5135135135135,1.31061598951507,0.850051003060184,95.5874597128626,5,721,32,16307,1,3
"long_cut =  5 ; prob =  0.68",0.68870523415978,99.8163902319603,0.183609768039661,14.2857142857143,1.31406044678055,0.850629465804696,95.5991796073835,5,721,30,16309,1,3
"long_cut =  5 ; prob =  0.69",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.7",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.71",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.72",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.73",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.74",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.75",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.76",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.77",0.68870523415978,99.828630883163,0.171369116837017,15.1515151515152,1.31752305665349,0.851208716377256,95.6108995019045,5,721,28,16311,1,3
"long_cut =  5 ; prob =  0.78",0.413223140495868,99.8347512087643,0.165248791235695,10,0.793650793650794,0.511247443762781,95.605039554644,3,723,27,16312,1,3
"long_cut =  5 ; prob =  0.79",0.413223140495868,99.8347512087643,0.165248791235695,10,0.793650793650794,0.511247443762781,95.605039554644,3,723,27,16312,1,3
"long_cut =  5 ; prob =  0.8",0.413223140495868,99.8408715343656,0.159128465634373,10.3448275862069,0.794701986754967,0.511421752471872,95.6108995019045,3,723,26,16313,1,3
"long_cut =  5 ; prob =  0.81",0.413223140495868,99.8408715343656,0.159128465634373,10.3448275862069,0.794701986754967,0.511421752471872,95.6108995019045,3,723,26,16313,1,3
"long_cut =  5 ; prob =  0.82",0.413223140495868,99.8531121855683,0.146887814431729,11.1111111111111,0.796812749003984,0.511770726714432,95.6226193964254,3,723,24,16315,1,3
"long_cut =  5 ; prob =  0.83",0.413223140495868,99.8714731623722,0.128526837627763,12.5,0.8,0.512295081967213,95.6401992382069,3,723,21,16318,1,3
"long_cut =  5 ; prob =  0.84",0.413223140495868,99.8714731623722,0.128526837627763,12.5,0.8,0.512295081967213,95.6401992382069,3,723,21,16318,1,3
"long_cut =  5 ; prob =  0.85",0.413223140495868,99.8714731623722,0.128526837627763,12.5,0.8,0.512295081967213,95.6401992382069,3,723,21,16318,1,3
"long_cut =  5 ; prob =  0.86",0.413223140495868,99.8714731623722,0.128526837627763,12.5,0.8,0.512295081967213,95.6401992382069,3,723,21,16318,1,3
"long_cut =  5 ; prob =  0.87",0.413223140495868,99.8714731623722,0.128526837627763,12.5,0.8,0.512295081967213,95.6401992382069,3,723,21,16318,1,3
"long_cut =  5 ; prob =  0.88",0.413223140495868,99.8714731623722,0.128526837627763,12.5,0.8,0.512295081967213,95.6401992382069,3,723,21,16318,1,3
"long_cut =  5 ; prob =  0.89",0.413223140495868,99.8837138135749,0.116286186425119,13.6363636363636,0.802139037433155,0.512645249487355,95.6519191327278,3,723,19,16320,1,3
"long_cut =  5 ; prob =  0.9",0.413223140495868,99.8837138135749,0.116286186425119,13.6363636363636,0.802139037433155,0.512645249487355,95.6519191327278,3,723,19,16320,1,3
"long_cut =  5 ; prob =  0.91",0.413223140495868,99.8837138135749,0.116286186425119,13.6363636363636,0.802139037433155,0.512645249487355,95.6519191327278,3,723,19,16320,1,3
"long_cut =  5 ; prob =  0.92",0.413223140495868,99.9020747903788,0.0979252096211525,15.7894736842105,0.805369127516779,0.513171399247349,95.6694989745092,3,723,16,16323,1,3
"long_cut =  5 ; prob =  0.93",0.413223140495868,99.9020747903788,0.0979252096211525,15.7894736842105,0.805369127516779,0.513171399247349,95.6694989745092,3,723,16,16323,1,3
"long_cut =  5 ; prob =  0.94",0.413223140495868,99.9020747903788,0.0979252096211525,15.7894736842105,0.805369127516779,0.513171399247349,95.6694989745092,3,723,16,16323,1,3
"long_cut =  5 ; prob =  0.95",0.413223140495868,99.9020747903788,0.0979252096211525,15.7894736842105,0.805369127516779,0.513171399247349,95.6694989745092,3,723,16,16323,1,3
"long_cut =  5 ; prob =  0.96",0.275482093663912,99.9020747903788,0.0979252096211525,11.1111111111111,0.537634408602151,0.342231348391513,95.6636390272488,2,724,16,16323,1,3
"long_cut =  5 ; prob =  0.97",0.275482093663912,99.9143154415815,0.0856845584185084,12.5,0.539083557951483,0.342465753424658,95.6753589217697,2,724,14,16325,1,3
"long_cut =  5 ; prob =  0.98",0.275482093663912,99.9204357671828,0.0795642328171864,13.3333333333333,0.539811066126856,0.342583076396026,95.6812188690302,2,724,13,16326,1,3
"long_cut =  5 ; prob =  0.99",0.275482093663912,99.9265560927841,0.0734439072158644,14.2857142857143,0.540540540540541,0.342700479780672,95.6870788162907,2,724,12,16327,1,3
"long_cut =  5 ; prob =  1",0,100,0,NA,NA,NA,95.7456782888954,0,726,0,16339,1,3
"long_cut =  5 ; prob =  random_rate",2.59562841530055,0.975667938931298,2.43320610687023,4.44964871194379,3.27868852459016,172.727272727273,93.5942857142857,19,713,408,16360,1,3
"long_cut =  5 ; prob =  random_50",50.1366120218579,0.502504770992366,49.7495229007634,4.21403146170628,7.77460014828938,405.645784996133,50.2457142857143,367,365,8342,8426,1,3
