"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,2
"long_cut =  5 ; prob =  0.42",0,99.9343557916095,0.0656442083905251,0,NA,NA,95.7516153010464,0,732,11,16746,1,2
"long_cut =  5 ; prob =  0.43",0,99.9343557916095,0.0656442083905251,0,NA,NA,95.7516153010464,0,732,11,16746,1,2
"long_cut =  5 ; prob =  0.44",0,99.9343557916095,0.0656442083905251,0,NA,NA,95.7516153010464,0,732,11,16746,1,2
"long_cut =  5 ; prob =  0.45",0,99.9343557916095,0.0656442083905251,0,NA,NA,95.7516153010464,0,732,11,16746,1,2
"long_cut =  5 ; prob =  0.46",0,99.9403234469177,0.0596765530822885,0,NA,NA,95.7573331808565,0,732,10,16747,1,2
"long_cut =  5 ; prob =  0.47",0,99.9403234469177,0.0596765530822885,0,NA,NA,95.7573331808565,0,732,10,16747,1,2
"long_cut =  5 ; prob =  0.48",0,99.9403234469177,0.0596765530822885,0,NA,NA,95.7573331808565,0,732,10,16747,1,2
"long_cut =  5 ; prob =  0.49",0,99.9403234469177,0.0596765530822885,0,NA,NA,95.7573331808565,0,732,10,16747,1,2
"long_cut =  5 ; prob =  0.5",0,99.9462911022259,0.053708897774063,0,NA,NA,95.7630510606667,0,732,9,16748,1,2
"long_cut =  5 ; prob =  0.51",0,99.9522587575342,0.0477412424658374,0,NA,NA,95.7687689404769,0,732,8,16749,1,2
"long_cut =  5 ; prob =  0.52",0,99.9522587575342,0.0477412424658374,0,NA,NA,95.7687689404769,0,732,8,16749,1,2
"long_cut =  5 ; prob =  0.53",0,99.9582264128424,0.0417735871576008,0,NA,NA,95.774486820287,0,732,7,16750,1,2
"long_cut =  5 ; prob =  0.54",0,99.9582264128424,0.0417735871576008,0,NA,NA,95.774486820287,0,732,7,16750,1,2
"long_cut =  5 ; prob =  0.55",0,99.9582264128424,0.0417735871576008,0,NA,NA,95.774486820287,0,732,7,16750,1,2
"long_cut =  5 ; prob =  0.56",0,99.9582264128424,0.0417735871576008,0,NA,NA,95.774486820287,0,732,7,16750,1,2
"long_cut =  5 ; prob =  0.57",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.58",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.59",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.6",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.61",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.62",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.63",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.64",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.65",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.66",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.67",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.68",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.69",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.7",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.71",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.72",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.73",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.74",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.75",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.76",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.77",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.78",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.79",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.8",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.81",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.82",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.83",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.84",0,99.9701617234588,0.0298382765411498,0,NA,NA,95.7859225799074,0,732,5,16752,1,2
"long_cut =  5 ; prob =  0.85",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.86",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.87",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.88",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.89",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.9",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.91",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.92",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.93",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.94",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.95",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.96",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.97",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.98",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  0.99",0,99.9940323446918,0.00596765530822552,0,NA,NA,95.808794099148,0,732,1,16756,1,2
"long_cut =  5 ; prob =  1",0,100,0,NA,NA,NA,95.8145119789582,0,732,0,16757,1,2
"long_cut =  5 ; prob =  random_rate",2.73224043715847,0.976085400763359,2.39145992366412,4.75059382422803,3.46921075455334,172.140937593311,93.64,20,712,401,16367,1,2
"long_cut =  5 ; prob =  random_50",50.9562841530055,0.502325858778626,49.7674141221374,4.27850424409268,7.89417989417989,405.718701700155,50.2628571428571,373,359,8345,8423,1,2
