"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.53",1.6597510373444,99.3039255362201,0.69607446377985,8.51063829787234,2.77777777777778,1.9782393669634,95.6376100334969,8,474,86,12269,2,8,9,2880
"long_cut =  9 ; prob =  0.54",1.6597510373444,99.3039255362201,0.69607446377985,8.51063829787234,2.77777777777778,1.9782393669634,95.6376100334969,8,474,86,12269,2,8,9,2880
"long_cut =  9 ; prob =  0.55",1.6597510373444,99.3120194253339,0.687980574666125,8.60215053763441,2.78260869565217,1.97921820880752,95.64540001558,8,474,85,12270,2,8,9,2880
"long_cut =  9 ; prob =  0.56",1.6597510373444,99.3282072035613,0.671792796438686,8.79120879120879,2.79232111692845,1.98117880138683,95.660979979746,8,474,83,12272,2,8,9,2880
"long_cut =  9 ; prob =  0.57",1.6597510373444,99.3929583164711,0.607041683528931,9.63855421686747,2.83185840707965,1.98906016907011,95.7232998364104,8,474,75,12280,2,8,9,2880
"long_cut =  9 ; prob =  0.58",1.6597510373444,99.4253338729259,0.574666127074064,10.126582278481,2.85204991087344,1.99302441454908,95.7544597647425,8,474,71,12284,2,8,9,2880
"long_cut =  9 ; prob =  0.59",1.2448132780083,99.4253338729259,0.574666127074064,7.79220779220779,2.14669051878354,1.49625935162095,95.7388798005765,6,476,71,12284,2,8,9,2880
"long_cut =  9 ; prob =  0.6",1.2448132780083,99.4334277620397,0.566572237960339,7.89473684210526,2.1505376344086,1.49700598802395,95.7466697826595,6,476,70,12285,2,8,9,2880
"long_cut =  9 ; prob =  0.61",1.2448132780083,99.4658033184945,0.534196681505461,8.33333333333333,2.16606498194946,1.5,95.7778297109917,6,476,66,12289,2,8,9,2880
"long_cut =  9 ; prob =  0.62",1.2448132780083,99.481991096722,0.518008903278022,8.57142857142857,2.17391304347826,1.5015015015015,95.7934096751577,6,476,64,12291,2,8,9,2880
"long_cut =  9 ; prob =  0.63",1.2448132780083,99.5224605422906,0.477539457709431,9.23076923076923,2.19378427787934,1.50526843953838,95.832359585573,6,476,59,12296,2,8,9,2880
"long_cut =  9 ; prob =  0.64",1.2448132780083,99.5224605422906,0.477539457709431,9.23076923076923,2.19378427787934,1.50526843953838,95.832359585573,6,476,59,12296,2,8,9,2880
"long_cut =  9 ; prob =  0.65",1.2448132780083,99.538648320518,0.461351679481992,9.52380952380952,2.20183486238532,1.50678051230537,95.847939549739,6,476,57,12298,2,8,9,2880
"long_cut =  9 ; prob =  0.66",1.2448132780083,99.538648320518,0.461351679481992,9.52380952380952,2.20183486238532,1.50678051230537,95.847939549739,6,476,57,12298,2,8,9,2880
"long_cut =  9 ; prob =  0.67",1.2448132780083,99.5548360987455,0.445163901254553,9.83606557377049,2.20994475138122,1.50829562594268,95.8635195139051,6,476,55,12300,2,8,9,2880
"long_cut =  9 ; prob =  0.68",1.2448132780083,99.5548360987455,0.445163901254553,9.83606557377049,2.20994475138122,1.50829562594268,95.8635195139051,6,476,55,12300,2,8,9,2880
"long_cut =  9 ; prob =  0.69",1.2448132780083,99.5548360987455,0.445163901254553,9.83606557377049,2.20994475138122,1.50829562594268,95.8635195139051,6,476,55,12300,2,8,9,2880
"long_cut =  9 ; prob =  0.7",1.2448132780083,99.5548360987455,0.445163901254553,9.83606557377049,2.20994475138122,1.50829562594268,95.8635195139051,6,476,55,12300,2,8,9,2880
"long_cut =  9 ; prob =  0.71",1.2448132780083,99.5872116552003,0.412788344799675,10.5263157894737,2.22634508348794,1.51133501259446,95.8946794422373,6,476,51,12304,2,8,9,2880
"long_cut =  9 ; prob =  0.72",1.2448132780083,99.6195872116552,0.380412788344797,11.3207547169811,2.24299065420561,1.51438667339727,95.9258393705694,6,476,47,12308,2,8,9,2880
"long_cut =  9 ; prob =  0.73",1.03734439834025,99.6276811007689,0.372318899231083,9.80392156862745,1.87617260787992,1.26326427488631,95.9258393705694,5,477,46,12309,2,8,9,2880
"long_cut =  9 ; prob =  0.74",0.829875518672199,99.6276811007689,0.372318899231083,8,1.50375939849624,1.01112234580384,95.9180493884864,4,478,46,12309,2,8,9,2880
"long_cut =  9 ; prob =  0.75",0.829875518672199,99.6357749898826,0.364225010117358,8.16326530612245,1.50659133709981,1.01163378856854,95.9258393705694,4,478,45,12310,2,8,9,2880
"long_cut =  9 ; prob =  0.76",0.829875518672199,99.6600566572238,0.339943342776206,8.69565217391304,1.51515151515152,1.01317122593718,95.9492093168186,4,478,42,12313,2,8,9,2880
"long_cut =  9 ; prob =  0.77",0.829875518672199,99.6600566572238,0.339943342776206,8.69565217391304,1.51515151515152,1.01317122593718,95.9492093168186,4,478,42,12313,2,8,9,2880
"long_cut =  9 ; prob =  0.78",0.829875518672199,99.6600566572238,0.339943342776206,8.69565217391304,1.51515151515152,1.01317122593718,95.9492093168186,4,478,42,12313,2,8,9,2880
"long_cut =  9 ; prob =  0.79",0.829875518672199,99.6681505463375,0.331849453662481,8.88888888888889,1.5180265654649,1.0136847440446,95.9569992989016,4,478,41,12314,2,8,9,2880
"long_cut =  9 ; prob =  0.8",0.829875518672199,99.684338324565,0.315661675435042,9.30232558139535,1.52380952380952,1.01471334348047,95.9725792630677,4,478,39,12316,2,8,9,2880
"long_cut =  9 ; prob =  0.81",0.829875518672199,99.7005261027924,0.299473897207603,9.75609756097561,1.52963671128107,1.01574403250381,95.9881592272338,4,478,37,12318,2,8,9,2880
"long_cut =  9 ; prob =  0.82",0.829875518672199,99.7086199919061,0.291380008093889,10,1.53256704980843,1.01626016260163,95.9959492093168,4,478,36,12319,2,8,9,2880
"long_cut =  9 ; prob =  0.83",0.829875518672199,99.7086199919061,0.291380008093889,10,1.53256704980843,1.01626016260163,95.9959492093168,4,478,36,12319,2,8,9,2880
